"EFN","Phy","matched_name","RangeY","domY","mycoY"
1,"Acacia eremaea","Acacia eremaea",TRUE,FALSE,FALSE
1,"Acacia erubescens","Acacia erubescens",TRUE,FALSE,FALSE
1,"Acacia excelsa","Acacia excelsa",TRUE,FALSE,FALSE
1,"Acacia falcata","Acacia falcata",TRUE,FALSE,FALSE
1,"Acacia falciformis","Acacia falciformis",TRUE,FALSE,FALSE
1,"Acacia farnesiana","Acacia farnesiana",TRUE,FALSE,TRUE
1,"Acacia ferruginea","Acacia ferruginea",FALSE,FALSE,FALSE
1,"Acacia fimbriata","Acacia fimbriata",TRUE,FALSE,FALSE
1,"Acacia floribunda","Acacia floribunda",TRUE,FALSE,FALSE
1,"Acacia gaumeri","Acacia gaumeri",TRUE,FALSE,FALSE
1,"Acacia gentlei","Acacia gentlei",FALSE,TRUE,FALSE
1,"Acacia glandulifera","Acacia glandulifera",FALSE,FALSE,FALSE
1,"Acacia globulifera","Acacia globulifera",FALSE,TRUE,FALSE
1,"Acacia glomerosa","Acacia glomerosa",FALSE,FALSE,FALSE
1,"Acacia grandistipula","Acacia grandistipula",FALSE,FALSE,FALSE
1,"Acacia greggii","Acacia greggii",TRUE,FALSE,FALSE
1,"Acacia hayesii","Acacia hayesii",FALSE,FALSE,FALSE
1,"Acacia hindsii","Acacia hindsii",FALSE,TRUE,FALSE
1,"Acacia huarango","Acacia huarango",FALSE,FALSE,FALSE
1,"Acacia hubbardiana","Acacia hubbardiana",FALSE,FALSE,FALSE
1,"Acacia huilana","Acacia huilana",FALSE,FALSE,FALSE
1,"Acacia insulae-lacobi","Acacia insulae-lacobi",FALSE,FALSE,FALSE
1,"Acacia interior","Acacia interior",FALSE,FALSE,FALSE
1,"Acacia iteaphylla","Acacia iteaphylla",TRUE,FALSE,FALSE
1,"Acacia ixodes","Acacia ixodes",FALSE,FALSE,FALSE
1,"Acacia janzenii","Acacia janzenii",FALSE,FALSE,FALSE
1,"Acacia kallunkiae","Acacia kallunkiae",FALSE,FALSE,FALSE
1,"Acacia karroo","Acacia karroo",TRUE,FALSE,FALSE
1,"Acacia koa","Acacia koa",TRUE,FALSE,TRUE
1,"Acacia koaia","Acacia koaia",TRUE,FALSE,FALSE
1,"Acacia lacerans","Acacia lacerans",FALSE,FALSE,FALSE
1,"Acacia latifolia","Acacia latifolia",TRUE,FALSE,FALSE
1,"Acacia leiocalyx","Acacia leiocalyx",TRUE,FALSE,FALSE
1,"Acacia leptostachya","Acacia leptostachya",FALSE,FALSE,FALSE
1,"Acacia leucophloea","Acacia leucophloea",TRUE,TRUE,FALSE
1,"Acacia ligulata","Acacia ligulata",TRUE,FALSE,FALSE
1,"Acacia lineata","Acacia lineata",TRUE,FALSE,FALSE
1,"Acacia longifolia","Acacia longifolia",TRUE,FALSE,FALSE
1,"Acacia longissima","Acacia longissima",TRUE,FALSE,FALSE
1,"Acacia loretensis","Acacia loretensis",FALSE,FALSE,FALSE
1,"Acacia macradenia","Acacia macradenia",FALSE,FALSE,FALSE
1,"Acacia maidenii","Acacia maidenii",FALSE,FALSE,FALSE
1,"Acacia maranoensis","Acacia maranoensis",FALSE,FALSE,FALSE
1,"Acacia mayana","Acacia mayana",FALSE,TRUE,FALSE
1,"Acacia mearnsii","Acacia mearnsii",TRUE,FALSE,FALSE
1,"Acacia melanoceras","Acacia melanoceras",FALSE,TRUE,FALSE
1,"Acacia melanoxylon","Acacia melanoxylon",TRUE,FALSE,FALSE
1,"Acacia melvillei","Acacia melvillei",FALSE,FALSE,FALSE
1,"Acacia microbotrya","Acacia microbotrya",TRUE,FALSE,FALSE
1,"Acacia microsperma","Acacia microsperma",FALSE,FALSE,FALSE
1,"Acacia miersii","Acacia miersii",FALSE,FALSE,FALSE
1,"Acacia mucronata","Acacia mucronata",TRUE,FALSE,FALSE
1,"Acacia muricata","Acacia muricata",FALSE,FALSE,FALSE
1,"Acacia myrtifolia","Acacia myrtifolia",TRUE,FALSE,FALSE
1,"Acacia neriifolia","Acacia neriifolia",TRUE,FALSE,FALSE
1,"Acacia nitidifolia","Acacia nitidifolia",FALSE,FALSE,FALSE
1,"Acacia occidentalis","Acacia occidentalis",FALSE,FALSE,FALSE
1,"Acacia omalophylla","Acacia omalophylla",TRUE,FALSE,FALSE
1,"Acacia oshanesii","Acacia oshanesii",TRUE,FALSE,FALSE
