Name,Phy,EFN
Acanthomyrmex humilis,Acanthomyrmex_humilis,0
Acanthomyrmex luciolae,Acanthomyrmex_luciolae,0
Acanthomyrmex thailandensis,Acanthomyrmex_thailandensis,0
Acanthoponera mucronata,Acanthoponera_mucronata,0
Acanthostichus brevicornis,Acanthostichus_brevicornis,0
Acanthostichus fuscipennis,Acanthostichus_fuscipennis,0
Acanthostichus longinodis,Acanthostichus_longinodis,0
Acanthostichus quadratus,Acanthostichus_quadratus,0
Acanthostichus serratulus,Acanthostichus_serratulus,0
Acromyrmex ambiguus,Acromyrmex_ambiguus,0
Acromyrmex ameliae,Acromyrmex_ameliae,0
Acromyrmex aspersus,Acromyrmex_aspersus,0
Acromyrmex balzani,Acromyrmex_balzani,0
Acromyrmex coronatus,Acromyrmex_coronatus,0
Acromyrmex crassispinus,Acromyrmex_crassispinus,0
Acromyrmex disciger,Acromyrmex_disciger,0
Acromyrmex echinatior,Acromyrmex_echinatior,0
Acromyrmex heyeri,Acromyrmex_heyeri,0
Acromyrmex hispidus,Acromyrmex_hispidus,0
Acromyrmex hystrix,Acromyrmex_hystrix,0
Acromyrmex insinuator,Acromyrmex_insinuator,0
Acromyrmex landolti,Acromyrmex_landolti,0
Acromyrmex laticeps,Acromyrmex_laticeps,0
Acromyrmex lobicornis,Acromyrmex_lobicornis,0
Acromyrmex lundii,Acromyrmex_lundii,0
Acromyrmex nobilis,Acromyrmex_nobilis,0
Acromyrmex octospinosus,Acromyrmex_octospinosus,0
Acromyrmex rugosus,Acromyrmex_rugosus,0
Acromyrmex striatus,Acromyrmex_striatus,0
Acromyrmex subterraneus,Acromyrmex_subterraneus,0
Acromyrmex versicolor,Acromyrmex_versicolor,0
Acromyrmex volcanus,Acromyrmex_volcanus,0
Acropyga acutiventris,Acropyga_acutiventris,0
Acropyga arnoldi,Acropyga_arnoldi,0
Acropyga ayanganna,Acropyga_ayanganna,0
Acropyga bakwele,Acropyga_bakwele,0
Acropyga decedens,Acropyga_decedens,0
Acropyga epedana,Acropyga_epedana,0
Acropyga exsanguis,Acropyga_exsanguis,0
Acropyga fuhrmanni,Acropyga_fuhrmanni,0
Acropyga goeldii,Acropyga_goeldii,0
Acropyga gowdeyi,Acropyga_gowdeyi,0
Acropyga kinomurai,Acropyga_kinomurai,0
Acropyga myops,Acropyga_myops,0
Acropyga nipponensis,Acropyga_nipponensis,0
Acropyga paleartica,Acropyga_paleartica,0
Acropyga sauteri,Acropyga_sauteri,0
Adelomyrmex betoi,Adelomyrmex_betoi,0
Adelomyrmex brenesi,Adelomyrmex_brenesi,0
Adelomyrmex laevigatus,Adelomyrmex_laevigatus,0
Adelomyrmex myops,Adelomyrmex_myops,0
Adelomyrmex tristani,Adelomyrmex_tristani,0
Adetomyrma venatrix,Adetomyrma_venatrix,0
Adlerzia froggatti,Adlerzia_froggatti,0
Aenictogiton fossiceps,Aenictogiton_fossiceps,0
Aenictus appressipilosus,Aenictus_appressipilosus,0
Aenictus arabicus,Aenictus_arabicus,0
Aenictus aratus,Aenictus_aratus,0
Aenictus asantei,Aenictus_asantei,0
Aenictus baliensis,Aenictus_baliensis,0
Aenictus binghami,Aenictus_binghami,0
Aenictus bobaiensis,Aenictus_bobaiensis,0
Aenictus brevipodus,Aenictus_brevipodus,0
Aenictus camposi,Aenictus_camposi,0
Aenictus ceylonicus,Aenictus_ceylonicus,0
Aenictus changmaianus,Aenictus_changmaianus,0
Aenictus concavus,Aenictus_concavus,0
Aenictus congolensis,Aenictus_congolensis,0
Aenictus currax,Aenictus_currax,0
Aenictus cylindripetiolus,Aenictus_cylindripetiolus,0
Aenictus decolor,Aenictus_decolor,0
Aenictus dentatus,Aenictus_dentatus,0
Aenictus dlusskyi,Aenictus_dlusskyi,0
Aenictus doryloides,Aenictus_doryloides,0
Aenictus eguchii,Aenictus_eguchii,0
Aenictus eugenii,Aenictus_eugenii,0
Aenictus fergusoni,Aenictus_fergusoni,0
Aenictus fuchuanensis,Aenictus_fuchuanensis,0
Aenictus glabratus,Aenictus_glabratus,0
Aenictus gonioccipus,Aenictus_gonioccipus,0
Aenictus gracilis,Aenictus_gracilis,0
Aenictus gutianshanensis,Aenictus_gutianshanensis,0
Aenictus hodgsoni,Aenictus_hodgsoni,0
Aenictus hottai,Aenictus_hottai,0
Aenictus idoneus,Aenictus_idoneus,0
Aenictus indicus,Aenictus_indicus,0
Aenictus itoi,Aenictus_itoi,0
Aenictus javanus,Aenictus_javanus,0
Aenictus jawadwipa,Aenictus_jawadwipa,0
Aenictus khaoyaiensis,Aenictus_khaoyaiensis,0
Aenictus kutai,Aenictus_kutai,0
Aenictus laeviceps,Aenictus_laeviceps,0
Aenictus latifemoratus,Aenictus_latifemoratus,0
Aenictus lifuiae,Aenictus_lifuiae,0
Aenictus longicephalus,Aenictus_longicephalus,0
Aenictus maneerati,Aenictus_maneerati,0
Aenictus minipetiolus,Aenictus_minipetiolus,0
Aenictus minutulus,Aenictus_minutulus,0
Aenictus pachycerus,Aenictus_pachycerus,0
Aenictus pangantihoni,Aenictus_pangantihoni,0
Aenictus paradentatus,Aenictus_paradentatus,0
Aenictus philippinensis,Aenictus_philippinensis,0
Aenictus piercei,Aenictus_piercei,0
Aenictus pilosus,Aenictus_pilosus,0
Aenictus pinkaewi,Aenictus_pinkaewi,0
Aenictus rabori,Aenictus_rabori,0
Aenictus rhodiensis,Aenictus_rhodiensis,0
Aenictus rixator,Aenictus_rixator,0
Aenictus rotundatus,Aenictus_rotundatus,0
Aenictus silvestrii,Aenictus_silvestrii,0
Aenictus stenocephalus,Aenictus_stenocephalus,0
Aenictus sulawesiensis,Aenictus_sulawesiensis,0
Aenictus sundalandensis,Aenictus_sundalandensis,0
Aenictus thailandianus,Aenictus_thailandianus,0
Aenictus turneri,Aenictus_turneri,0
Aenictus vieti,Aenictus_vieti,0
Aenictus watanasiti,Aenictus_watanasiti,0
Aenictus wilaiae,Aenictus_wilaiae,0
Aenictus wilsoni,Aenictus_wilsoni,0
Aenictus wiwatwitayai,Aenictus_wiwatwitayai,0
Aenictus wroughtonii,Aenictus_wroughtonii,0
Aenictus wudangshanensis,Aenictus_wudangshanensis,0
Aenictus yamanei,Aenictus_yamanei,0
Aenictus yangi,Aenictus_yangi,0
Agraulomyrmex meridionalis,Agraulomyrmex_meridionalis,0
Agraulomyrmex wilsoni,Agraulomyrmex_wilsoni,0
Allomerus brevipilosus,Allomerus_brevipilosus,0
Allomerus octoarticulatus,Allomerus_octoarticulatus,0
Amblyopone australis,Amblyopone_australis,0
Aneuretus simoni,Aneuretus_simoni,0
Anillidris bruchi,Anillidris_bruchi,0
Anillomyrma decamera,Anillomyrma_decamera,0
Anillomyrma tridens,Anillomyrma_tridens,0
Anochetus armstrongi,Anochetus_armstrongi,0
Anochetus bispinosus,Anochetus_bispinosus,0
Anochetus brevis,Anochetus_brevis,0
Anochetus bytinskii,Anochetus_bytinskii,0
Anochetus cryptus,Anochetus_cryptus,0
Anochetus evansi,Anochetus_evansi,0
Anochetus faurei,Anochetus_faurei,0
Anochetus ghilianii,Anochetus_ghilianii,0
Anochetus graeffei,Anochetus_graeffei,0
Anochetus grandidieri,Anochetus_grandidieri,0
Anochetus hohenbergiae,Anochetus_hohenbergiae,0
Anochetus horridus,Anochetus_horridus,0
Anochetus incultus,Anochetus_incultus,0
Anochetus isolatus,Anochetus_isolatus,0
Anochetus kempfi,Anochetus_kempfi,0
Anochetus leyticus,Anochetus_leyticus,0
Anochetus maryatiae,Anochetus_maryatiae,0
Anochetus mayri,Anochetus_mayri,0
Anochetus micans,Anochetus_micans,0
Anochetus miserabilis,Anochetus_miserabilis,0
Anochetus modicus,Anochetus_modicus,0
Anochetus oriens,Anochetus_oriens,0
Anochetus pangantihoni,Anochetus_pangantihoni,0
Anochetus princeps,Anochetus_princeps,0
Anochetus rectangularis,Anochetus_rectangularis,0
Anochetus risii,Anochetus_risii,0
Anochetus ruginotus,Anochetus_ruginotus,0
Anochetus schoedli,Anochetus_schoedli,0
Anochetus sedilloti,Anochetus_sedilloti,0
Anochetus subcoecus,Anochetus_subcoecus,0
